Результаты табулирования многочлена по схеме Горнера
Многочлен: 0.0*X^2 + 0.1*X^1 + 0.0*X^0
Интервал от 1.0 до 10.0 с шагом 0.1
====================================================
Значение в точке 1.0 равно 0.1
Значение в точке 1.1 равно 0.11000000000000001
Значение в точке 1.2 равно 0.12
Значение в точке 1.3 равно 0.13
Значение в точке 1.4 равно 0.13999999999999999
Значение в точке 1.5 равно 0.15000000000000002
Значение в точке 1.6 равно 0.16000000000000003
Значение в точке 1.7000000000000002 равно 0.17000000000000004
Значение в точке 1.8 равно 0.18000000000000002
Значение в точке 1.9 равно 0.19
Значение в точке 2.0 равно 0.2
Значение в точке 2.1 равно 0.21000000000000002
Значение в точке 2.2 равно 0.22000000000000003
Значение в точке 2.3 равно 0.22999999999999998
Значение в точке 2.4000000000000004 равно 0.24000000000000005
Значение в точке 2.5 равно 0.25
Значение в точке 2.6 равно 0.26
Значение в точке 2.7 равно 0.27
Значение в точке 2.8 равно 0.27999999999999997
Значение в точке 2.9000000000000004 равно 0.29000000000000004
Значение в точке 3.0 равно 0.30000000000000004
Значение в точке 3.1 равно 0.31000000000000005
Значение в точке 3.2 равно 0.32000000000000006
Значение в точке 3.3000000000000003 равно 0.33000000000000007
Значение в точке 3.4000000000000004 равно 0.3400000000000001
Значение в точке 3.5 равно 0.35000000000000003
Значение в точке 3.6 равно 0.36000000000000004
Значение в точке 3.7 равно 0.37000000000000005
Значение в точке 3.8000000000000003 равно 0.38000000000000006
Значение в точке 3.9000000000000004 равно 0.39000000000000007
Значение в точке 4.0 равно 0.4
Значение в точке 4.1 равно 0.41
Значение в точке 4.2 равно 0.42000000000000004
Значение в точке 4.300000000000001 равно 0.4300000000000001
Значение в точке 4.4 равно 0.44000000000000006
Значение в точке 4.5 равно 0.45
Значение в точке 4.6 равно 0.45999999999999996
Значение в точке 4.7 равно 0.47000000000000003
Значение в точке 4.800000000000001 равно 0.4800000000000001
Значение в точке 4.9 равно 0.49000000000000005
Значение в точке 5.0 равно 0.5
Значение в точке 5.1000000000000005 равно 0.5100000000000001
Значение в точке 5.2 равно 0.52
Значение в точке 5.3 равно 0.53
Значение в точке 5.4 равно 0.54
Значение в точке 5.5 равно 0.55
Значение в точке 5.6000000000000005 равно 0.56
Значение в точке 5.7 равно 0.5700000000000001
Значение в точке 5.800000000000001 равно 0.5800000000000001
Значение в точке 5.9 равно 0.5900000000000001
Значение в точке 6.0 равно 0.6000000000000001
Значение в точке 6.1000000000000005 равно 0.6100000000000001
Значение в точке 6.2 равно 0.6200000000000001
Значение в точке 6.300000000000001 равно 0.6300000000000001
Значение в точке 6.4 равно 0.6400000000000001
Значение в точке 6.5 равно 0.65
Значение в точке 6.6000000000000005 равно 0.6600000000000001
Значение в точке 6.7 равно 0.67
Значение в точке 6.800000000000001 равно 0.6800000000000002
Значение в точке 6.9 равно 0.6900000000000001
Значение в точке 7.0 равно 0.7000000000000001
Значение в точке 7.1000000000000005 равно 0.7100000000000001
Значение в точке 7.2 равно 0.7200000000000001
Значение в точке 7.300000000000001 равно 0.7300000000000001
Значение в точке 7.4 равно 0.7400000000000001
Значение в точке 7.5 равно 0.75
Значение в точке 7.6000000000000005 равно 0.7600000000000001
Значение в точке 7.7 равно 0.77
Значение в точке 7.800000000000001 равно 0.7800000000000001
Значение в точке 7.9 равно 0.79
Значение в точке 8.0 равно 0.8
Значение в точке 8.100000000000001 равно 0.8100000000000002
Значение в точке 8.2 равно 0.82
Значение в точке 8.3 равно 0.8300000000000001
Значение в точке 8.4 равно 0.8400000000000001
Значение в точке 8.5 равно 0.8500000000000001
Значение в точке 8.600000000000001 равно 0.8600000000000002
Значение в точке 8.7 равно 0.87
Значение в точке 8.8 равно 0.8800000000000001
Значение в точке 8.9 равно 0.8900000000000001
Значение в точке 9.0 равно 0.9
Значение в точке 9.1 равно 0.91
Значение в точке 9.200000000000001 равно 0.9200000000000002
Значение в точке 9.3 равно 0.9300000000000002
Значение в точке 9.4 равно 0.9400000000000001
Значение в точке 9.5 равно 0.9500000000000001
Значение в точке 9.6 равно 0.96
Значение в точке 9.700000000000001 равно 0.9700000000000002
Значение в точке 9.8 равно 0.9800000000000001
Значение в точке 9.9 равно 0.9900000000000001
Значение в точке 10.0 равно 1.0
